[log] весь вывод дублируется в файл: C:\Users\artem\PycharmProjects\snake-optimization\logs\adam_optimization_seed_42_20260512_222811.log
Adam: поле 10x10, до 1000 ходов за партию; на итерацию 120 партий (центр 24, FD плечо 12x8); workers=20
[iter 1/30] mean J=0.375000  |grad|_2=3.719494  w=[1.8366, -3.8749, 0.1001, -1.8839]
[iter 2/30] mean J=0.416667  |grad|_2=2.386758  w=[0.3366, -2.3749, 1.6001, -3.3839]
[iter 3/30] mean J=0.000000  |grad|_2=0.000000  w=[-1.0113, -0.9272, 3.1001, -3.7835]
[iter 4/30] mean J=0.000000  |grad|_2=0.000000  w=[-2.0532, 0.1920, 4.2596, -4.0923]
[iter 5/30] mean J=0.000000  |grad|_2=0.000000  w=[-2.9067, 1.1087, 5.2094, -4.3452]
[iter 6/30] mean J=0.000000  |grad|_2=0.000000  w=[-3.6280, 1.8835, 6.0122, -4.5591]
[iter 7/30] mean J=0.000000  |grad|_2=0.000000  w=[-4.2498, 2.5513, 6.7041, -4.7433]
[iter 8/30] mean J=0.000000  |grad|_2=0.000000  w=[-4.7927, 3.1345, 7.3084, -4.9043]
[iter 9/30] mean J=0.000000  |grad|_2=0.000000  w=[-5.2714, 3.6487, 7.8410, -5.0461]
[iter 10/30] mean J=0.000000  |grad|_2=0.000000  w=[-5.6963, 4.1051, 8.3139, -5.1721]
[iter 11/30] mean J=0.000000  |grad|_2=0.000000  w=[-6.0755, 4.5124, 8.7359, -5.2845]
[iter 12/30] mean J=0.000000  |grad|_2=0.000000  w=[-6.4154, 4.8775, 9.1142, -5.3852]
[iter 13/30] mean J=0.000000  |grad|_2=0.000000  w=[-6.7210, 5.2057, 9.4542, -5.4758]
[iter 14/30] mean J=0.000000  |grad|_2=0.000000  w=[-6.9964, 5.5016, 9.7608, -5.5574]
[iter 15/30] mean J=0.000000  |grad|_2=0.000000  w=[-7.2453, 5.7689, 10.0378, -5.6312]
[iter 16/30] mean J=0.000000  |grad|_2=0.000000  w=[-7.4705, 6.0108, 10.2884, -5.6980]
[iter 17/30] mean J=0.000000  |grad|_2=0.000000  w=[-7.6746, 6.2301, 10.5156, -5.7585]
[iter 18/30] mean J=0.000000  |grad|_2=0.000000  w=[-7.8598, 6.4290, 10.7217, -5.8134]
[iter 19/30] mean J=0.000000  |grad|_2=0.000000  w=[-8.0280, 6.6096, 10.9088, -5.8632]
[iter 20/30] mean J=0.000000  |grad|_2=0.000000  w=[-8.1809, 6.7738, 11.0789, -5.9085]
[iter 21/30] mean J=0.000000  |grad|_2=0.000000  w=[-8.3199, 6.9231, 11.2336, -5.9497]
[iter 22/30] mean J=0.000000  |grad|_2=0.000000  w=[-8.4463, 7.0590, 11.3744, -5.9872]
[iter 23/30] mean J=0.000000  |grad|_2=0.000000  w=[-8.5614, 7.1826, 11.5025, -6.0213]
[iter 24/30] mean J=0.000000  |grad|_2=0.000000  w=[-8.6663, 7.2952, 11.6191, -6.0524]
[iter 25/30] mean J=0.000000  |grad|_2=0.000000  w=[-8.7617, 7.3977, 11.7254, -6.0807]
[iter 26/30] mean J=0.000000  |grad|_2=0.000000  w=[-8.8487, 7.4911, 11.8221, -6.1064]
[iter 27/30] mean J=0.000000  |grad|_2=0.000000  w=[-8.9279, 7.5762, 11.9103, -6.1299]
[iter 28/30] mean J=0.000000  |grad|_2=0.000000  w=[-9.0001, 7.6538, 11.9906, -6.1513]
[iter 29/30] mean J=0.000000  |grad|_2=0.000000  w=[-9.0658, 7.7244, 12.0638, -6.1708]
[iter 30/30] mean J=0.000000  |grad|_2=0.000000  w=[-9.1257, 7.7887, 12.1305, -6.1886]
--- итог ---
Лучшее среднее J по итерациям: 0.416667
Лучшие веса: [0.3366, -2.3749, 1.6001, -3.3839]
(порядок: w_food, w_danger, w_space, w_wall)
